timestamp,source_ip,destination_ip,destination_port,protocol,action,bytes_sent,bytes_received,username,event_type,severity,description
2024-03-01 00:03:21,192.168.1.105,10.0.0.1,22,TCP,ALLOW,1240,980,jsmith,SSH_LOGIN,LOW,Successful SSH login
2024-03-01 00:07:45,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:08:01,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:08:17,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:08:33,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:08:49,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:09:05,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt from external IP
2024-03-01 00:12:33,10.0.0.22,8.8.8.8,53,UDP,ALLOW,128,256,system,DNS_QUERY,LOW,Normal DNS resolution
2024-03-01 00:15:10,10.0.0.45,192.168.1.1,80,TCP,ALLOW,2048,15360,bwilliams,HTTP_REQUEST,LOW,Normal web browsing
2024-03-01 00:22:44,10.0.0.99,172.16.0.5,445,TCP,ALLOW,4096,0,tadmin,SMB_ACCESS,MEDIUM,SMB file share access
2024-03-01 00:31:05,198.51.100.77,10.0.0.10,443,TCP,ALLOW,512,1024,unknown,HTTPS_REQUEST,LOW,HTTPS connection established
2024-03-01 00:45:18,10.0.0.15,10.0.0.1,22,TCP,ALLOW,980,760,rjones,SSH_LOGIN,LOW,Successful SSH login
2024-03-01 01:02:55,203.0.113.50,10.0.0.5,80,TCP,ALLOW,300,800,unknown,HTTP_REQUEST,LOW,HTTP GET request
2024-03-01 01:14:30,10.0.0.33,10.0.0.200,3306,TCP,ALLOW,2560,51200,dbuser,DB_ACCESS,MEDIUM,MySQL database access
2024-03-01 01:28:44,10.0.0.77,8.8.4.4,53,UDP,ALLOW,128,256,system,DNS_QUERY,LOW,Normal DNS resolution
2024-03-01 01:45:02,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:08,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:14,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:20,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:26,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:32,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:38,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:44,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:50,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 01:45:56,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login attempt - invalid credentials
2024-03-01 02:01:11,10.0.0.88,10.0.0.1,80,TCP,ALLOW,1024,4096,mlopez,HTTP_REQUEST,LOW,Normal web request
2024-03-01 02:14:05,10.0.0.15,10.0.0.55,445,TCP,ALLOW,8192,0,rjones,SMB_ACCESS,MEDIUM,SMB file share access
2024-03-01 02:33:22,172.16.100.5,10.0.0.20,443,TCP,ALLOW,640,2048,unknown,HTTPS_REQUEST,LOW,HTTPS connection
2024-03-01 02:47:59,10.0.0.44,198.51.100.200,4444,TCP,ALLOW,51200,102400,sysuser,OUTBOUND,CRITICAL,Suspicious outbound connection on port 4444 - possible C2 traffic
2024-03-01 03:02:10,10.0.0.44,198.51.100.200,4444,TCP,ALLOW,61440,112640,sysuser,OUTBOUND,CRITICAL,Suspicious outbound connection on port 4444 - possible C2 traffic
2024-03-01 03:17:44,10.0.0.44,198.51.100.200,4444,TCP,ALLOW,71680,122880,sysuser,OUTBOUND,CRITICAL,Suspicious outbound connection on port 4444 - possible C2 traffic
2024-03-01 03:30:05,10.0.0.22,8.8.8.8,53,UDP,ALLOW,128,256,system,DNS_QUERY,LOW,Normal DNS resolution
2024-03-01 03:45:18,10.0.0.101,10.0.0.1,22,TCP,ALLOW,1240,980,agreen,SSH_LOGIN,LOW,Successful SSH login
2024-03-01 04:00:33,10.0.0.200,10.0.0.15,3306,TCP,ALLOW,2048,40960,dbadmin,DB_ACCESS,MEDIUM,MySQL database access
2024-03-01 04:12:50,185.220.101.99,10.0.0.8,22,TCP,BLOCK,540,0,unknown,SSH_FAIL,HIGH,Failed SSH from known Tor exit node
2024-03-01 04:12:55,185.220.101.99,10.0.0.8,22,TCP,BLOCK,540,0,unknown,SSH_FAIL,HIGH,Failed SSH from known Tor exit node
2024-03-01 04:13:00,185.220.101.99,10.0.0.8,22,TCP,BLOCK,540,0,unknown,SSH_FAIL,HIGH,Failed SSH from known Tor exit node
2024-03-01 04:25:44,10.0.0.55,172.16.0.100,443,TCP,ALLOW,1024,8192,kpatel,HTTPS_REQUEST,LOW,Normal HTTPS traffic
2024-03-01 04:40:11,10.0.0.77,10.0.0.1,80,TCP,ALLOW,512,2048,mlopez,HTTP_REQUEST,LOW,Normal web request
2024-03-01 04:55:29,10.0.0.33,10.0.0.200,3306,TCP,ALLOW,3072,61440,dbuser,DB_ACCESS,MEDIUM,MySQL database query
2024-03-01 05:10:44,10.0.0.44,185.220.101.200,443,TCP,ALLOW,204800,409600,sysuser,OUTBOUND,CRITICAL,Large data exfiltration attempt - 200KB+ upload to suspicious IP
2024-03-01 05:25:58,10.0.0.22,8.8.8.8,53,UDP,ALLOW,128,256,system,DNS_QUERY,LOW,Normal DNS resolution
2024-03-01 05:41:12,192.168.1.105,10.0.0.1,22,TCP,ALLOW,1240,980,jsmith,SSH_LOGIN,LOW,Successful SSH login
2024-03-01 05:56:27,10.0.0.88,10.0.0.55,445,TCP,ALLOW,4096,16384,mlopez,SMB_ACCESS,MEDIUM,SMB share access
2024-03-01 06:11:41,10.0.0.15,10.0.0.200,3306,TCP,ALLOW,1536,30720,rjones,DB_ACCESS,MEDIUM,MySQL select query
2024-03-01 06:26:55,203.0.113.100,10.0.0.10,80,TCP,ALLOW,256,512,unknown,HTTP_REQUEST,LOW,HTTP GET request
2024-03-01 06:42:09,10.0.0.99,172.16.0.5,445,TCP,ALLOW,8192,0,tadmin,SMB_ACCESS,MEDIUM,SMB file write operation
2024-03-01 06:57:24,10.0.0.44,198.51.100.200,4444,TCP,ALLOW,81920,163840,sysuser,OUTBOUND,CRITICAL,Suspicious outbound connection on port 4444 - possible C2 traffic
2024-03-01 07:12:38,10.0.0.101,10.0.0.55,22,TCP,ALLOW,980,760,agreen,SSH_LOGIN,LOW,Successful SSH login
2024-03-01 07:27:52,185.220.101.45,10.0.0.5,3389,TCP,BLOCK,540,0,unknown,RDP_ATTEMPT,HIGH,Blocked RDP brute force attempt
2024-03-01 07:43:06,10.0.0.22,8.8.8.8,53,UDP,ALLOW,128,256,system,DNS_QUERY,LOW,Normal DNS resolution
2024-03-01 07:58:21,10.0.0.77,10.0.0.200,3306,TCP,ALLOW,2048,40960,dbuser,DB_ACCESS,MEDIUM,MySQL database access
2024-03-01 08:13:35,10.0.0.33,10.0.0.1,80,TCP,ALLOW,1024,4096,bwilliams,HTTP_REQUEST,LOW,Normal web request
2024-03-01 08:28:49,10.0.0.15,198.51.100.50,443,TCP,ALLOW,512,2048,rjones,HTTPS_REQUEST,LOW,Normal HTTPS traffic
2024-03-01 08:44:03,192.168.1.50,10.0.0.1,22,TCP,BLOCK,540,0,hacker,SSH_FAIL,HIGH,Failed SSH login - brute force detected
2024-03-01 08:59:17,10.0.0.44,185.220.101.200,443,TCP,ALLOW,307200,614400,sysuser,OUTBOUND,CRITICAL,Large data exfiltration - 300KB+ upload to suspicious IP
2024-03-01 09:14:32,10.0.0.55,10.0.0.1,80,TCP,ALLOW,768,3072,kpatel,HTTP_REQUEST,LOW,Normal web request
2024-03-01 09:29:46,10.0.0.88,172.16.0.100,443,TCP,ALLOW,1280,10240,mlopez,HTTPS_REQUEST,LOW,Normal HTTPS connection
2024-03-01 09:45:00,10.0.0.22,8.8.8.8,53,UDP,ALLOW,128,256,system,DNS_QUERY,LOW,Normal DNS resolution
